age,height,weight,experience,passing_yards,td_passes,interceptions,passes_attempted,completion_percentage,yards_per_attempt,passer_rating,passing_yards_roll3,td_passes_roll3,passes_attempted_roll3,td_rate_roll3,completion_rate_roll3,threw_td
33.0,74.0,225.0,13.0,234.0,1.0,0.0,30.0,53.3,7.8,90.1,285.0,3.0,30.0,0.1,0.8,1
33.0,74.0,225.0,13.0,234.0,1.0,0.0,30.0,53.3,7.8,90.1,268.0,2.3333333333333335,30.0,0.07777777777777778,0.711,1
33.0,74.0,225.0,13.0,234.0,1.0,0.0,30.0,53.3,7.8,90.1,251.0,1.6666666666666667,30.0,0.05555555555555555,0.622,1
33.0,74.0,225.0,13.0,234.0,1.0,0.0,30.0,53.3,7.8,90.1,234.0,1.0,30.0,0.03333333333333333,0.5329999999999999,1
33.0,74.0,225.0,13.0,148.0,2.0,0.0,24.0,62.5,6.2,107.6,234.0,1.0,30.0,0.03333333333333333,0.5329999999999999,1
33.0,74.0,225.0,13.0,148.0,2.0,0.0,24.0,62.5,6.2,107.6,205.33333333333334,1.3333333333333333,28.0,0.04999999999999999,0.5636666666666666,1
33.0,74.0,225.0,13.0,148.0,2.0,0.0,24.0,62.5,6.2,107.6,176.66666666666666,1.6666666666666667,26.0,0.06666666666666667,0.5943333333333333,1
33.0,74.0,225.0,13.0,148.0,2.0,0.0,24.0,62.5,6.2,107.6,148.0,2.0,24.0,0.08333333333333333,0.625,1
33.0,74.0,225.0,13.0,244.0,2.0,1.0,28.0,64.3,8.7,100.9,148.0,2.0,24.0,0.08333333333333333,0.625,1
33.0,74.0,225.0,13.0,244.0,2.0,1.0,28.0,64.3,8.7,100.9,180.0,2.0,25.333333333333332,0.07936507936507935,0.631,1
33.0,74.0,225.0,13.0,244.0,2.0,1.0,28.0,64.3,8.7,100.9,212.0,2.0,26.666666666666668,0.07539682539682539,0.637,1
33.0,74.0,225.0,13.0,244.0,2.0,1.0,28.0,64.3,8.7,100.9,244.0,2.0,28.0,0.07142857142857142,0.643,1
33.0,74.0,225.0,13.0,250.0,3.0,1.0,30.0,63.3,8.3,109.0,244.0,2.0,28.0,0.07142857142857142,0.643,1
33.0,74.0,225.0,13.0,250.0,3.0,1.0,30.0,63.3,8.3,109.0,246.0,2.3333333333333335,28.666666666666668,0.08095238095238096,0.6396666666666667,1
33.0,74.0,225.0,13.0,250.0,3.0,1.0,30.0,63.3,8.3,109.0,248.0,2.6666666666666665,29.333333333333332,0.09047619047619049,0.6363333333333333,1
33.0,74.0,225.0,13.0,250.0,3.0,1.0,30.0,63.3,8.3,109.0,250.0,3.0,30.0,0.1,0.633,1
33.0,74.0,225.0,13.0,170.0,2.0,2.0,27.0,63.0,6.3,74.6,250.0,3.0,30.0,0.1,0.633,1
33.0,74.0,225.0,13.0,170.0,2.0,2.0,27.0,63.0,6.3,74.6,223.33333333333334,2.6666666666666665,29.0,0.09135802469135801,0.632,1
33.0,74.0,225.0,13.0,170.0,2.0,2.0,27.0,63.0,6.3,74.6,196.66666666666666,2.3333333333333335,28.0,0.08271604938271605,0.631,1
33.0,74.0,225.0,13.0,170.0,2.0,2.0,27.0,63.0,6.3,74.6,170.0,2.0,27.0,0.07407407407407407,0.63,1
33.0,74.0,225.0,13.0,165.0,1.0,2.0,26.0,53.8,6.3,54.2,170.0,2.0,27.0,0.07407407407407407,0.63,1
33.0,74.0,225.0,13.0,165.0,1.0,2.0,26.0,53.8,6.3,54.2,168.33333333333334,1.6666666666666667,26.666666666666668,0.06220322886989554,0.5993333333333334,1
33.0,74.0,225.0,13.0,165.0,1.0,2.0,26.0,53.8,6.3,54.2,166.66666666666666,1.3333333333333333,26.333333333333332,0.050332383665717,0.5686666666666667,1
33.0,74.0,225.0,13.0,165.0,1.0,2.0,26.0,53.8,6.3,54.2,165.0,1.0,26.0,0.038461538461538464,0.5379999999999999,1
33.0,74.0,225.0,13.0,184.0,3.0,0.0,23.0,65.2,8.0,129.3,165.0,1.0,26.0,0.038461538461538464,0.5379999999999999,1
33.0,74.0,225.0,13.0,184.0,3.0,0.0,23.0,65.2,8.0,129.3,171.33333333333334,1.6666666666666667,25.0,0.06911928651059085,0.576,1
33.0,74.0,225.0,13.0,184.0,3.0,0.0,23.0,65.2,8.0,129.3,177.66666666666666,2.3333333333333335,24.0,0.09977703455964326,0.614,1
33.0,74.0,225.0,13.0,184.0,3.0,0.0,23.0,65.2,8.0,129.3,184.0,3.0,23.0,0.13043478260869565,0.652,1
33.0,74.0,225.0,13.0,195.0,0.0,1.0,32.0,71.9,6.1,74.3,184.0,3.0,23.0,0.13043478260869565,0.652,0
33.0,74.0,225.0,13.0,195.0,0.0,1.0,32.0,71.9,6.1,74.3,187.66666666666666,2.0,26.0,0.08695652173913042,0.6743333333333333,0
33.0,74.0,225.0,13.0,195.0,0.0,1.0,32.0,71.9,6.1,74.3,191.33333333333334,1.0,29.0,0.043478260869565216,0.6966666666666667,0
33.0,74.0,225.0,13.0,195.0,0.0,1.0,32.0,71.9,6.1,74.3,195.0,0.0,32.0,0.0,0.7190000000000001,0
33.0,74.0,225.0,13.0,200.0,2.0,0.0,37.0,43.2,5.4,78.7,195.0,0.0,32.0,0.0,0.7190000000000001,1
33.0,74.0,225.0,13.0,200.0,2.0,0.0,37.0,43.2,5.4,78.7,196.66666666666666,0.6666666666666666,33.666666666666664,0.018018018018018018,0.6233333333333334,1
33.0,74.0,225.0,13.0,200.0,2.0,0.0,37.0,43.2,5.4,78.7,198.33333333333334,1.3333333333333333,35.333333333333336,0.036036036036036036,0.5276666666666667,1
33.0,74.0,225.0,13.0,200.0,2.0,0.0,37.0,43.2,5.4,78.7,200.0,2.0,37.0,0.05405405405405406,0.43200000000000005,1
33.0,74.0,225.0,13.0,180.0,2.0,0.0,43.0,53.5,4.2,79.6,200.0,2.0,37.0,0.05405405405405406,0.43200000000000005,1
33.0,74.0,225.0,13.0,180.0,2.0,0.0,43.0,53.5,4.2,79.6,193.33333333333334,2.0,39.0,0.051539912005028284,0.4663333333333333,1
33.0,74.0,225.0,13.0,180.0,2.0,0.0,43.0,53.5,4.2,79.6,186.66666666666666,2.0,41.0,0.04902576995600252,0.5006666666666667,1
33.0,74.0,225.0,13.0,180.0,2.0,0.0,43.0,53.5,4.2,79.6,180.0,2.0,43.0,0.046511627906976744,0.535,1
33.0,74.0,225.0,13.0,274.0,2.0,0.0,31.0,83.9,8.8,125.0,180.0,2.0,43.0,0.046511627906976744,0.535,1
